transaction_id,user_id,transaction_date,product_category,amount_usd
TX_100054,USR_13043,2024-03-21,Crypto,72.28
TX_100055,USR_13013,2024-06-05,Crypto,92.97
TX_100056,USR_13844,2024-07-28,Robo-Advisory,363.0
TX_100057,USR_11169,2024-08-25,Crypto,253.97
TX_100058,USR_13262,2024-11-11,Crypto,132.22
TX_100059,USR_14022,2024-01-17,Crypto,302.17
TX_100060,USR_10200,2024-07-02,Equities,973.28
TX_100061,USR_11890,2025-05-09,Equities,452.48
TX_100062,USR_10011,2025-08-20,Equities,93.32
TX_100063,USR_11976,2025-04-12,Crypto,184.39
TX_100064,USR_11325,2024-06-01,Robo-Advisory,167.11
TX_100065,USR_13371,2024-09-27,Robo-Advisory,478.81
TX_100066,USR_14070,2025-09-04,Robo-Advisory,48.01
TX_100067,USR_13556,2024-03-19,Crypto,101.22
TX_100068,USR_14966,2025-03-16,Crypto,90.91
TX_100069,USR_10365,2024-07-02,Crypto,41.18
TX_100070,USR_10656,2025-08-16,Crypto,130.51
TX_100071,USR_10160,2025-07-02,Equities,426.84
TX_100072,USR_10174,2025-10-01,High-Yield Savings,880.76
TX_100073,USR_13470,2024-03-05,High-Yield Savings,581.41
TX_100074,USR_14060,2024-10-15,High-Yield Savings,3097.19
TX_100075,USR_10544,2024-05-10,Equities,822.28
TX_100076,USR_13854,2024-10-31,Equities,981.76
TX_100077,USR_11761,2025-11-24,Crypto,59.78
TX_100078,USR_10956,2024-05-28,Crypto,490.06
TX_100079,USR_10451,2024-04-19,Crypto,69.18
TX_100080,USR_10081,2024-04-14,Robo-Advisory,57.69
TX_100081,USR_11236,2024-01-27,High-Yield Savings,2155.96
TX_100082,USR_14911,2025-01-22,Crypto,15.73
TX_100083,USR_10446,2024-04-24,Equities,1831.08
TX_100084,USR_12165,2024-08-14,High-Yield Savings,246.19
TX_100085,USR_11619,2024-05-08,Equities,125.03
TX_100086,USR_11793,2025-03-14,Crypto,13.87
TX_100087,USR_13314,2025-06-19,Robo-Advisory,60.24
TX_100088,USR_14844,2024-04-19,High-Yield Savings,417.15
TX_100089,USR_11173,2025-10-30,Robo-Advisory,499.73
TX_100090,USR_10645,2025-06-17,Robo-Advisory,28.39
TX_100091,USR_10378,2024-05-30,Crypto,299.01
TX_100092,USR_12655,2024-07-31,High-Yield Savings,532.72
TX_100093,USR_13584,2025-06-03,Crypto,340.43
TX_100094,USR_13733,2024-03-20,High-Yield Savings,747.94
TX_100095,USR_11140,2025-04-27,High-Yield Savings,1568.09
TX_100096,USR_13735,2024-03-28,Robo-Advisory,72.43
TX_100097,USR_12013,2025-07-24,Robo-Advisory,260.08
TX_100098,USR_10661,2024-03-30,High-Yield Savings,578.12
TX_100099,USR_14971,2024-10-07,Equities,201.54
TX_100100,USR_10011,2025-05-23,Crypto,179.92
TX_100101,USR_10387,2024-04-11,Equities,1224.93
TX_100102,USR_13023,2025-11-15,Crypto,160.92
TX_100103,USR_13833,2024-08-05,Robo-Advisory,671.2
TX_100104,USR_11919,2024-09-12,Crypto,80.64
TX_100105,USR_14491,2025-10-27,Robo-Advisory,352.87
TX_100106,USR_12592,2024-06-06,Robo-Advisory,56.26
TX_100107,USR_12708,2024-07-12,Equities,1556.05
TX_100108,USR_14735,2025-01-14,Crypto,195.87
TX_100109,USR_10099,2024-08-22,Robo-Advisory,252.23
TX_100110,USR_14552,2024-02-22,Robo-Advisory,630.17
TX_100111,USR_14076,2025-11-09,High-Yield Savings,1596.56
TX_100112,USR_12771,2025-09-11,Robo-Advisory,201.91
TX_100113,USR_14169,2025-10-13,Equities,470.94
TX_100114,USR_12377,2025-10-01,Robo-Advisory,270.99
TX_100115,USR_11863,2025-04-27,Robo-Advisory,350.21
TX_100116,USR_14019,2024-06-26,Equities,769.42
TX_100117,USR_14270,2024-02-25,High-Yield Savings,682.69
TX_100118,USR_13758,2025-02-27,Crypto,228.02
TX_100119,USR_14592,2024-06-25,High-Yield Savings,494.8
TX_100120,USR_14523,2024-10-14,Robo-Advisory,168.19
TX_100121,USR_10034,2025-08-16,High-Yield Savings,660.04
TX_100122,USR_12166,2025-01-07,Robo-Advisory,50.44
TX_100123,USR_13639,2025-03-04,High-Yield Savings,358.01
TX_100124,USR_13972,2024-07-31,Robo-Advisory,1229.53
TX_100125,USR_13380,2025-04-08,Crypto,115.45
TX_100126,USR_13176,2024-11-22,High-Yield Savings,399.45
TX_100127,USR_10175,2025-01-18,Crypto,82.58
TX_100128,USR_12153,2024-06-20,High-Yield Savings,809.04
TX_100129,USR_14687,2024-06-17,Equities,368.57
TX_100130,USR_11586,2025-08-31,High-Yield Savings,791.81
TX_100131,USR_13658,2024-12-06,High-Yield Savings,1964.63
TX_100132,USR_13002,2024-07-13,Robo-Advisory,158.31
TX_100133,USR_10952,2024-05-29,Robo-Advisory,294.36
TX_100134,USR_14956,2025-02-04,Crypto,100.66
TX_100135,USR_12871,2024-08-29,High-Yield Savings,847.47
TX_100136,USR_14329,2025-08-23,Crypto,436.86
TX_100137,USR_12714,2025-11-20,High-Yield Savings,573.29
TX_100138,USR_13656,2024-06-07,Crypto,31.11
TX_100139,USR_12978,2024-02-20,Equities,289.32
TX_100140,USR_11809,2024-01-20,Crypto,31.14
TX_100141,USR_12806,2024-06-24,Robo-Advisory,539.79
TX_100142,USR_14151,2024-03-12,Robo-Advisory,105.05
TX_100143,USR_13759,2024-11-25,Robo-Advisory,273.03
TX_100144,USR_13328,2025-09-24,Crypto,42.67
TX_100145,USR_12970,2025-10-15,Crypto,18.61
TX_100146,USR_14908,2024-03-02,Robo-Advisory,141.65
TX_100147,USR_13134,2024-06-27,Equities,2479.19
TX_100148,USR_11959,2024-05-06,Robo-Advisory,1128.33
TX_100149,USR_10805,2024-04-07,High-Yield Savings,869.01
TX_100150,USR_13100,2024-05-06,Equities,290.02
TX_100151,USR_11575,2025-08-15,High-Yield Savings,4542.72
TX_100152,USR_13730,2025-02-08,Crypto,95.12
TX_100153,USR_10599,2025-05-23,High-Yield Savings,120.26
TX_100154,USR_12615,2024-05-22,Equities,1615.94
TX_100155,USR_13371,2025-07-01,Equities,978.64
TX_100156,USR_10611,2024-01-09,High-Yield Savings,1498.74
TX_100157,USR_11949,2024-11-10,High-Yield Savings,2510.35
TX_100158,USR_10560,2024-08-24,Robo-Advisory,72.51
TX_100159,USR_12546,2024-12-03,Crypto,49.01
TX_100160,USR_10626,2024-05-24,Equities,92.74
TX_100161,USR_12811,2025-08-16,Robo-Advisory,801.01
TX_100162,USR_11610,2025-05-30,Robo-Advisory,145.31
TX_100163,USR_13262,2025-08-18,Crypto,407.07
TX_100164,USR_13782,2025-06-08,Crypto,108.74
TX_100165,USR_10674,2025-09-18,Crypto,202.51
TX_100166,USR_13722,2024-10-25,Crypto,219.47
TX_100167,USR_10048,2025-04-20,Equities,231.46
TX_100168,USR_11386,2024-09-20,Equities,353.66
TX_100169,USR_11902,2025-02-07,Equities,1206.17
TX_100170,USR_14722,2024-05-02,Robo-Advisory,485.28
TX_100171,USR_13567,2024-07-28,High-Yield Savings,1102.48
TX_100172,USR_14372,2024-07-17,Crypto,89.05
TX_100173,USR_12094,2024-11-12,Equities,1934.38
TX_100174,USR_13842,2025-07-09,Crypto,16.31
TX_100175,USR_14311,2025-04-25,High-Yield Savings,1852.04
TX_100176,USR_10229,2024-06-27,Equities,489.92
TX_100177,USR_13492,2025-03-17,Robo-Advisory,801.15
TX_100178,USR_11685,2025-04-03,High-Yield Savings,1730.85
TX_100179,USR_11310,2024-04-26,Equities,128.5
TX_100180,USR_14141,2025-02-17,High-Yield Savings,1961.27
TX_100181,USR_10632,2025-05-07,Equities,247.18
TX_100182,USR_12422,2024-12-05,Equities,258.55
TX_100183,USR_12750,2025-09-04,Robo-Advisory,226.02
TX_100184,USR_10332,2025-06-05,High-Yield Savings,1308.6
TX_100185,USR_11879,2025-02-05,Robo-Advisory,28.65
TX_100186,USR_10506,2025-01-14,High-Yield Savings,3848.37
TX_100187,USR_14212,2024-10-07,Robo-Advisory,325.35
TX_100188,USR_10942,2025-04-24,Robo-Advisory,184.29
TX_100189,USR_10635,2025-09-06,Robo-Advisory,344.92
TX_100190,USR_11589,2024-06-10,Crypto,181.46
TX_100191,USR_11462,2024-02-13,Equities,59.89
TX_100192,USR_11991,2024-09-02,Robo-Advisory,57.79
TX_100193,USR_14964,2025-04-23,Equities,459.29
TX_100194,USR_11734,2025-04-20,High-Yield Savings,727.29
TX_100195,USR_12263,2025-08-24,Equities,368.51
TX_100196,USR_10112,2024-07-14,Crypto,45.7
TX_100197,USR_12263,2024-06-19,Crypto,424.46
TX_100198,USR_10426,2024-11-23,Equities,265.59
TX_100199,USR_11066,2024-04-23,High-Yield Savings,172.93
TX_100200,USR_12811,2025-05-12,Equities,559.69
TX_100201,USR_14379,2024-06-03,Equities,485.79
TX_100202,USR_10833,2024-06-12,Equities,486.0
TX_100203,USR_10229,2025-04-13,Equities,87.73
TX_100204,USR_14480,2024-08-02,Robo-Advisory,466.86
TX_100205,USR_14254,2025-09-10,High-Yield Savings,587.47
TX_100206,USR_10823,2024-03-09,Equities,1577.18
TX_100207,USR_12518,2024-04-13,Crypto,155.97
TX_100208,USR_13667,2024-11-16,High-Yield Savings,1448.44
TX_100209,USR_14303,2025-08-19,High-Yield Savings,1152.18
TX_100210,USR_14269,2024-10-25,Crypto,100.26
TX_100211,USR_11823,2024-03-14,High-Yield Savings,597.23
TX_100212,USR_11104,2025-03-25,Robo-Advisory,76.9
TX_100213,USR_11041,2024-10-03,Equities,530.97
TX_100214,USR_10707,2025-03-20,Robo-Advisory,1673.29
TX_100215,USR_11383,2024-05-20,Equities,314.48
TX_100216,USR_11891,2024-04-17,Robo-Advisory,109.67
TX_100217,USR_11302,2025-05-16,High-Yield Savings,2018.86
TX_100218,USR_13021,2024-01-28,Equities,1417.21
TX_100219,USR_10676,2024-06-06,Equities,2174.78
TX_100220,USR_12564,2024-03-22,High-Yield Savings,2415.81
TX_100221,USR_13322,2024-04-15,Crypto,116.74
TX_100222,USR_14757,2025-10-03,Crypto,297.71
TX_100223,USR_11563,2024-07-29,High-Yield Savings,191.83
TX_100224,USR_11260,2024-01-21,Crypto,257.95
TX_100225,USR_13203,2024-12-11,Crypto,24.94
TX_100226,USR_12353,2024-06-22,Robo-Advisory,306.28
TX_100227,USR_10357,2024-08-04,Crypto,71.18
TX_100228,USR_13234,2025-06-20,High-Yield Savings,1086.66
TX_100229,USR_10418,2025-05-03,Robo-Advisory,134.36
TX_100230,USR_14737,2024-11-08,Crypto,18.82
TX_100231,USR_13955,2025-10-21,Crypto,246.44
TX_100232,USR_11593,2025-11-19,High-Yield Savings,255.46
TX_100233,USR_14602,2024-06-10,High-Yield Savings,1251.19
TX_100234,USR_11385,2025-01-28,Equities,229.92
TX_100235,USR_14407,2024-10-15,Crypto,159.31
TX_100236,USR_12751,2025-09-18,Crypto,93.4
TX_100237,USR_10244,2024-07-12,Crypto,322.47
TX_100238,USR_14572,2024-02-16,Crypto,204.82
TX_100239,USR_10614,2025-11-19,Robo-Advisory,110.55
TX_100240,USR_10249,2024-01-30,Equities,1718.2
TX_100241,USR_13093,2025-05-01,Crypto,54.11
TX_100242,USR_11595,2024-07-29,Crypto,35.7
TX_100243,USR_11929,2025-04-13,Crypto,564.73
TX_100244,USR_10510,2024-11-10,Robo-Advisory,50.88
TX_100245,USR_13967,2025-05-06,Equities,271.5
TX_100246,USR_14869,2024-10-13,Crypto,160.2
TX_100247,USR_11365,2024-10-03,Crypto,470.62
TX_100248,USR_10923,2024-09-29,High-Yield Savings,510.61
TX_100249,USR_10073,2025-03-10,Equities,584.87
TX_100250,USR_10808,2025-02-11,Robo-Advisory,32.37
TX_100251,USR_12878,2024-08-16,Robo-Advisory,401.43
TX_100252,USR_12267,2024-08-20,Equities,1288.37
TX_100253,USR_12126,2025-09-01,Crypto,36.53
TX_100254,USR_14330,2025-11-17,Robo-Advisory,477.52
TX_100255,USR_12204,2024-09-28,Robo-Advisory,233.21
TX_100256,USR_13679,2024-02-18,High-Yield Savings,1196.61
TX_100257,USR_14737,2025-03-01,Robo-Advisory,391.89
TX_100258,USR_14716,2025-01-30,Robo-Advisory,391.06
TX_100259,USR_13658,2025-11-11,Crypto,106.87
TX_100260,USR_10984,2025-07-25,Crypto,102.18
TX_100261,USR_11298,2024-10-16,Crypto,61.67
TX_100262,USR_13744,2025-03-20,Crypto,36.68
TX_100263,USR_13280,2024-08-17,Equities,1006.17
TX_100264,USR_13955,2024-03-25,Robo-Advisory,550.25
TX_100265,USR_12653,2025-05-15,High-Yield Savings,2444.75
TX_100266,USR_13687,2024-08-28,Robo-Advisory,1135.67
TX_100267,USR_12962,2025-09-10,Robo-Advisory,157.95
TX_100268,USR_12946,2024-08-17,High-Yield Savings,806.06
TX_100269,USR_13045,2024-09-02,Robo-Advisory,777.88
TX_100270,USR_10859,2024-04-10,Equities,155.93
TX_100271,USR_12085,2025-09-11,High-Yield Savings,1204.78
TX_100272,USR_12727,2025-10-31,Crypto,184.33
TX_100273,USR_10376,2024-02-14,Crypto,217.97
TX_100274,USR_14471,2024-03-14,Equities,967.19
TX_100275,USR_14690,2024-09-13,Robo-Advisory,116.53
TX_100276,USR_12794,2024-04-12,High-Yield Savings,1197.07
TX_100277,USR_11065,2024-04-01,High-Yield Savings,3409.0
TX_100278,USR_13682,2024-08-24,High-Yield Savings,2864.22
TX_100279,USR_12007,2025-08-28,High-Yield Savings,1176.0
TX_100280,USR_13201,2024-03-24,Crypto,57.6
TX_100281,USR_11051,2025-06-15,High-Yield Savings,1002.14
TX_100282,USR_10628,2024-01-23,High-Yield Savings,626.75
TX_100283,USR_12373,2025-08-30,Crypto,181.93
TX_100284,USR_13974,2024-06-09,Robo-Advisory,286.05
TX_100285,USR_11183,2024-01-08,High-Yield Savings,297.17
TX_100286,USR_14841,2024-11-14,Crypto,86.65
TX_100287,USR_11277,2025-09-27,Robo-Advisory,930.74
TX_100288,USR_11951,2024-05-11,Equities,832.08
TX_100289,USR_13921,2025-06-30,Crypto,90.77
TX_100290,USR_13424,2024-04-02,Crypto,309.52
TX_100291,USR_11325,2024-11-07,Crypto,108.39
TX_100292,USR_11171,2025-10-12,Crypto,110.89
TX_100293,USR_14316,2024-10-20,Equities,898.48
TX_100294,USR_13769,2025-03-04,Equities,708.46
TX_100295,USR_11871,2025-08-20,Equities,56.09
TX_100296,USR_13631,2025-03-17,Equities,298.67
TX_100297,USR_12310,2025-09-21,Equities,53.36
TX_100298,USR_12343,2025-11-04,Robo-Advisory,264.48
TX_100299,USR_13386,2025-09-13,Robo-Advisory,200.78
TX_100300,USR_13067,2024-04-01,Crypto,53.23
TX_100301,USR_12339,2025-01-09,Crypto,659.12
TX_100302,USR_10683,2025-10-25,Robo-Advisory,66.65
TX_100303,USR_10875,2025-08-08,Robo-Advisory,681.81
TX_100304,USR_11054,2025-04-07,Robo-Advisory,858.89
TX_100305,USR_13753,2024-11-14,Robo-Advisory,673.65
TX_100306,USR_12602,2025-09-12,High-Yield Savings,822.22
TX_100307,USR_14014,2025-05-01,Equities,1845.9
TX_100308,USR_10348,2024-08-15,High-Yield Savings,114.64
TX_100309,USR_14314,2025-01-31,Crypto,63.34
TX_100310,USR_11022,2024-01-02,Crypto,32.85
TX_100311,USR_10449,2025-09-14,Equities,134.01
TX_100312,USR_10503,2025-02-14,Crypto,214.02
TX_100313,USR_10085,2024-04-14,High-Yield Savings,477.62
TX_100314,USR_13322,2024-08-05,Crypto,85.1
TX_100315,USR_10522,2024-10-01,Crypto,148.63
TX_100316,USR_13151,2024-01-21,High-Yield Savings,1941.18
TX_100317,USR_13692,2024-11-09,Equities,219.96
TX_100318,USR_12508,2025-02-13,High-Yield Savings,2225.6
TX_100319,USR_10629,2025-04-02,Equities,433.65
TX_100320,USR_10017,2024-10-26,Equities,665.02
TX_100321,USR_11268,2024-01-27,Equities,641.19
TX_100322,USR_11176,2025-10-09,Crypto,347.02
TX_100323,USR_11632,2025-01-19,Robo-Advisory,541.63
TX_100324,USR_14595,2025-09-30,High-Yield Savings,2591.01
TX_100325,USR_14553,2024-03-13,Crypto,177.91
TX_100326,USR_13769,2024-01-31,High-Yield Savings,255.46
TX_100327,USR_13613,2025-01-25,Crypto,35.41
TX_100328,USR_10114,2024-01-09,Equities,915.38
TX_100329,USR_10752,2024-07-17,High-Yield Savings,1283.51
TX_100330,USR_14864,2025-04-20,Robo-Advisory,34.45
TX_100331,USR_12400,2025-01-15,High-Yield Savings,308.71
TX_100332,USR_11870,2025-04-26,High-Yield Savings,2618.73
TX_100333,USR_12588,2025-03-12,Robo-Advisory,273.94
TX_100334,USR_10321,2024-05-23,Robo-Advisory,61.17
TX_100335,USR_14321,2025-02-11,Robo-Advisory,42.14
TX_100336,USR_13827,2024-11-25,Robo-Advisory,2267.0
TX_100337,USR_14456,2024-06-22,Crypto,62.54
TX_100338,USR_10833,2024-08-20,Equities,589.53
TX_100339,USR_14207,2025-03-10,High-Yield Savings,578.26
TX_100340,USR_10211,2025-05-15,Equities,768.0
TX_100341,USR_11256,2025-11-01,Crypto,369.36
TX_100342,USR_10158,2025-06-25,High-Yield Savings,871.77
TX_100343,USR_12619,2024-10-16,Crypto,365.41
TX_100344,USR_11347,2024-10-01,Crypto,62.59
TX_100345,USR_13164,2025-02-15,Robo-Advisory,366.47
TX_100346,USR_13212,2024-01-06,High-Yield Savings,311.87
TX_100347,USR_10910,2024-05-24,Crypto,53.92
TX_100348,USR_12451,2024-04-10,High-Yield Savings,2152.44
TX_100349,USR_13803,2025-08-25,Crypto,423.32
TX_100350,USR_10403,2024-06-12,Crypto,201.89
TX_100351,USR_11841,2025-05-27,High-Yield Savings,303.93
TX_100352,USR_12648,2024-05-23,Equities,62.39
TX_100353,USR_11690,2025-03-27,Robo-Advisory,51.07
TX_100354,USR_13485,2024-02-16,Crypto,69.54
TX_100355,USR_11256,2024-01-23,Equities,252.22
TX_100356,USR_14288,2024-07-13,Crypto,16.58
TX_100357,USR_13184,2025-03-21,Equities,2201.11
TX_100358,USR_11642,2024-03-25,Robo-Advisory,265.32
TX_100359,USR_13352,2024-12-09,Equities,76.1
TX_100360,USR_10522,2025-08-01,Robo-Advisory,362.83
TX_100361,USR_14445,2025-04-11,High-Yield Savings,2516.57
TX_100362,USR_11944,2024-10-25,Equities,198.6
TX_100363,USR_13571,2025-01-05,Crypto,251.24
TX_100364,USR_11560,2025-09-01,Equities,1136.56
TX_100365,USR_14747,2024-06-20,Crypto,32.13
TX_100366,USR_14730,2024-08-19,High-Yield Savings,741.03
TX_100367,USR_13594,2025-04-30,Robo-Advisory,54.06
TX_100368,USR_10592,2025-06-21,High-Yield Savings,126.0
TX_100369,USR_13893,2024-06-08,Crypto,226.76
TX_100370,USR_12668,2024-02-12,High-Yield Savings,202.46
TX_100371,USR_13902,2024-04-21,Crypto,129.73
TX_100372,USR_10755,2025-04-02,Equities,384.4
TX_100373,USR_11299,2025-04-02,Equities,382.23
TX_100374,USR_10496,2024-08-28,Crypto,345.4
TX_100375,USR_14868,2025-01-29,Equities,489.83
TX_100376,USR_12421,2024-04-27,High-Yield Savings,3881.94
TX_100377,USR_11598,2025-04-06,Robo-Advisory,426.01
TX_100378,USR_14279,2025-04-23,Crypto,107.58
TX_100379,USR_14127,2024-05-16,Equities,117.54
TX_100380,USR_14378,2025-07-13,Robo-Advisory,290.67
TX_100381,USR_14931,2024-08-28,Robo-Advisory,378.16
TX_100382,USR_13590,2025-07-19,Robo-Advisory,935.1
TX_100383,USR_14781,2024-05-06,Equities,228.94
TX_100384,USR_10461,2025-09-24,High-Yield Savings,7590.84
TX_100385,USR_14966,2025-04-27,Crypto,19.59
TX_100386,USR_10367,2024-12-19,High-Yield Savings,389.54
TX_100387,USR_12705,2024-08-22,Equities,1870.42
TX_100388,USR_13323,2025-07-21,Equities,316.66
TX_100389,USR_10165,2024-12-03,Crypto,657.39
TX_100390,USR_13686,2025-08-21,Crypto,685.07
TX_100391,USR_14082,2025-02-17,Equities,226.97
TX_100392,USR_13047,2024-05-10,Crypto,106.3
TX_100393,USR_11728,2024-03-01,Robo-Advisory,95.02
TX_100394,USR_14697,2025-05-05,Crypto,270.92
TX_100395,USR_13669,2024-09-15,Robo-Advisory,69.9
TX_100396,USR_13174,2025-02-02,High-Yield Savings,316.24
TX_100397,USR_12173,2025-10-30,Robo-Advisory,516.4
TX_100398,USR_10037,2024-10-13,Robo-Advisory,478.69
TX_100399,USR_14443,2024-07-17,Equities,834.33
TX_100400,USR_12021,2024-11-22,Robo-Advisory,94.91
TX_100401,USR_10733,2025-07-20,Crypto,198.29
TX_100402,USR_14521,2024-04-01,Equities,303.16
TX_100403,USR_10647,2024-08-15,Robo-Advisory,343.36
TX_100404,USR_13302,2024-04-19,Robo-Advisory,92.96
TX_100405,USR_10319,2024-10-07,Equities,1301.99
TX_100406,USR_14607,2025-07-15,Crypto,144.91
TX_100407,USR_12553,2025-07-03,Crypto,223.12
TX_100408,USR_13178,2024-03-25,Crypto,96.32
TX_100409,USR_11722,2025-11-22,High-Yield Savings,2390.12
TX_100410,USR_11756,2024-12-05,Crypto,83.01
TX_100411,USR_13678,2024-07-16,Robo-Advisory,128.8
TX_100412,USR_13778,2024-03-16,Robo-Advisory,1236.58
TX_100413,USR_12515,2024-06-21,High-Yield Savings,905.47
TX_100414,USR_13847,2024-08-12,High-Yield Savings,618.74
TX_100415,USR_10937,2025-09-03,Crypto,133.4
TX_100416,USR_10764,2025-09-15,Crypto,270.55
TX_100417,USR_10652,2024-01-19,Crypto,119.0
TX_100418,USR_14080,2025-10-06,Equities,419.05
TX_100419,USR_13602,2024-08-24,Robo-Advisory,248.25
TX_100420,USR_12129,2025-03-01,Equities,385.69
TX_100421,USR_14576,2025-09-25,Equities,648.53
TX_100422,USR_13964,2024-04-02,Robo-Advisory,563.78
TX_100423,USR_14611,2025-06-25,High-Yield Savings,1266.53
TX_100424,USR_10186,2025-08-10,Crypto,68.0
TX_100425,USR_10145,2024-05-18,High-Yield Savings,2065.17
TX_100426,USR_14247,2024-12-05,Equities,104.37
TX_100427,USR_11386,2024-10-11,Equities,289.79
TX_100428,USR_14188,2025-04-26,Robo-Advisory,547.98
TX_100429,USR_12587,2025-08-08,High-Yield Savings,1613.96
TX_100430,USR_12696,2025-09-11,Robo-Advisory,1059.32
TX_100431,USR_14012,2024-08-20,Robo-Advisory,168.94
TX_100432,USR_14697,2024-08-20,Crypto,162.18
TX_100433,USR_10048,2024-02-08,Crypto,246.51
TX_100434,USR_13329,2024-02-29,Equities,405.41
TX_100435,USR_13589,2025-08-30,Robo-Advisory,130.21
TX_100436,USR_12588,2024-08-13,High-Yield Savings,249.71
TX_100437,USR_13481,2025-08-31,High-Yield Savings,401.34
TX_100438,USR_10774,2025-04-24,Equities,78.38
TX_100439,USR_14641,2025-02-09,Equities,205.18
TX_100440,USR_11260,2025-01-07,Equities,113.31
TX_100441,USR_10649,2024-12-08,High-Yield Savings,140.81
TX_100442,USR_13439,2025-02-10,Robo-Advisory,165.09
TX_100443,USR_13048,2024-10-01,Robo-Advisory,221.25
TX_100444,USR_12023,2024-01-22,Equities,492.69
TX_100445,USR_11080,2025-09-30,Robo-Advisory,540.05
TX_100446,USR_14270,2025-01-19,Equities,79.59
TX_100447,USR_12074,2025-11-04,Equities,106.8
TX_100448,USR_14242,2024-01-26,Crypto,87.24
TX_100449,USR_14963,2025-05-30,Crypto,149.34
TX_100450,USR_12312,2025-11-18,High-Yield Savings,386.37
TX_100451,USR_13474,2025-07-10,High-Yield Savings,383.26
TX_100452,USR_12305,2024-09-24,Equities,66.37
TX_100453,USR_13260,2024-04-01,Robo-Advisory,285.6
TX_100454,USR_12874,2024-10-19,Crypto,134.12
TX_100455,USR_14838,2025-01-21,Crypto,117.28
TX_100456,USR_14805,2025-10-29,Equities,1430.09
TX_100457,USR_13310,2024-05-09,Crypto,108.38
TX_100458,USR_11350,2025-04-29,Robo-Advisory,513.91
TX_100459,USR_11093,2024-04-20,High-Yield Savings,661.9
TX_100460,USR_13776,2025-03-03,Equities,773.64
TX_100461,USR_13096,2024-08-21,Robo-Advisory,543.57
TX_100462,USR_11854,2024-02-06,Crypto,16.36
TX_100463,USR_12266,2025-07-19,Crypto,29.2
TX_100464,USR_10560,2024-04-14,Robo-Advisory,672.41
TX_100465,USR_14987,2024-12-04,Equities,377.99
TX_100466,USR_14692,2024-07-08,Crypto,216.59
